TestCase Name,TestCase Description,TestCase Result,Note,Status
"Wall Connection - L-shape connection - Vertical rebar - Starter length = 0mm, user input max length of vertical rebar then press ESC/Close - Creation and edit mode",Validation before create reinforcement without exception,As expected,Main feature,Pass
"Wall Connection - L-shape connection - Vertical rebar - Starter length > 0mm, user input max length of vertical rebar and the actual length then press ESC/Close - Creation and edit mode",Validation before create reinforcement without exception,As expected,Main feature,Pass
"Wall Connection - T-shape connection - Vertical rebar - Starter length = 0mm, user input max length of vertical rebar then press ESC/Close - Creation and edit mode",Validation before create reinforcement without exception,As expected,Main feature,Pass
"Wall Connection - T-shape connection - Vertical rebar - Starter length > 0mm, user input max length of vertical rebar and the actual length then press ESC/Close - Creation and edit mode",Validation before create reinforcement without exception,As expected,Main feature,Pass
Test additional case in real project,Test additional case in real project,As expected,Main feature,Pass
